Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8173233,Hoe word ik een rat? De kunst van het konkelen en samenzweren,Joep P.M. Schrijvers,"Schrijvers, Joep P.M.",,"=""9055942553""","=""9789055942558""",5,Scriptum,Paperback,164,2002,2004,,2019/04/13,"non-technical, communication","non-technical (#40), communication (#4)",read,,,,1,1
16144853,Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,"Sinek, Simon",,"=""1591845327""","=""9781591845324""",5,Portfolio,Hardcover,350,2014,2014,,2020/03/19,"non-technical, leadership","non-technical (#9), leadership (#14)",read,,,,1,0
29496432,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,Simon Sinek,"Sinek, Simon","David  Mead, Peter Docker","=""0143111728""","=""9780143111726""",4,Portfolio,Paperback,256,2017,2017,2019/12/01,2019/07/16,"non-technical, leadership","non-technical (#7), leadership (#13)",read,,,,1,0
38390751,The Infinite Game,Simon Sinek,"Sinek, Simon",,"=""073521350X""","=""9780735213500""",5,Portfolio,Hardcover,251,2019,2017,2021/08/05,2021/07/10,"non-technical, leadership","non-technical (#8), leadership (#15)",read,,,,1,0
49040,Death by Meeting: A Leadership Fable… about Solving the Most Painful Problem in Business,Patrick Lencioni,"Lencioni, Patrick",,"=""0787968056""","=""9780787968052""",5,Jossey-Bass,Hardcover,260,2004,2004,,2019/04/13,"non-technical, leadership","non-technical (#15), leadership (#8)",read,,,,1,1
13637793,"The 3 Power Values: How Commitment, Integrity, and Transparency Clear the Roadblocks to Performance",David Gebler,"Gebler, David",,"=""1118101324""","=""9781118101322""",5,Josey-Bass,Hardcover,240,2012,2012,,2019/04/13,"non-technical, leadership","non-technical (#22), leadership (#9)",read,,,,1,1
32181042,"The Ideal Team Player: How to Recognize and Cultivate The Three Essential Virtues [Jan 01, 2016] Lencioni, Patrick M.",Patrick Lencioni,"Lencioni, Patrick",,"=""8126563877""","=""9788126563876""",5,Nill,Paperback,232,2016,2016,,2019/04/13,"non-technical, leadership","non-technical (#17), leadership (#10)",read,,,,1,0
29776935,Together Is Better,Simon Sinek,"Sinek, Simon",,"=""024118729X""","=""9780241187296""",5,Portfolio Penguin,Hardcover,160,2016,2016,,2019/04/13,"non-technical, leadership","non-technical (#10), leadership (#12)",read,,,,1,0
21343,The Five Dysfunctions of a Team,Patrick Lencioni,"Lencioni, Patrick",,"=""0787960756""","=""9780787960759""",5,FisicalBook,Paperback,228,2011,2002,,2019/04/13,"non-technical, leadership","non-technical (#14), leadership (#4)",read,,,,1,1
7108725,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Sinek, Simon",,"=""1591842808""","=""9781591842804""",5,Portfolio,Hardcover,256,2009,2009,,2019/04/13,"non-technical, leadership","non-technical (#6), leadership (#6)",read,,,,1,1
8873049,The Leader's Guide to Radical Management: Reinventing the Workplace for the 21st Century,Stephen Denning,"Denning, Stephen",,"=""0470548681""","=""9780470548684""",5,Jossey-Bass,Hardcover,336,2010,2010,,2019/04/13,"non-technical, leadership","non-technical (#21), leadership (#2)",read,,,,1,1
16158601,Turn the Ship Around!: A True Story of Turning Followers into Leaders,L. David Marquet,"Marquet, L. David",,"=""1591846404""","=""9781591846406""",5,Portfolio,Hardcover,272,2013,2013,,2019/04/13,"non-technical, leadership","non-technical (#19), leadership (#3)",read,,,,1,1
20706737,Good Leaders Ask Great Questions: Your Foundation for Successful Leadership,John C. Maxwell,"Maxwell, John C.",,"=""1455548073""","=""9781455548071""",5,Center Street,Hardcover,320,2014,,,2019/04/13,"non-technical, leadership","non-technical (#13), leadership (#5)",read,,,,1,1
32179693,The Responsibility Process: Unlocking Your Natural Ability to Live and Lead with Power,Christopher Avery,"Avery, Christopher",,"=""099774720X""","=""9780997747201""",5,"Partnerwerks, Incorporated",Paperback,272,2016,,,2019/04/13,"non-technical, leadership","non-technical (#24), leadership (#1)",read,,,,1,1
22529127,Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,"McChrystal, Stanley","Chris Fussell, Tantum Collins, David        Silverman","=""1591847486""","=""9781591847489""",5,Portfolio,Hardcover,304,2015,2015,,2019/04/13,"non-technical, collaboration","non-technical (#2), collaboration (#3)",read,,,,1,0
30212642,"Extreme Teams: Why Pixar, Netflix, Airbnb, and Other Cutting-Edge Companies Succeed Where Most Fail",Robert Bruce Shaw,"Shaw, Robert Bruce",,"=""0814437176""","=""9780814437179""",5,AMACOM,Hardcover,256,2017,,,2019/04/13,"non-technical, collaboration","non-technical (#3), collaboration (#5)",read,,,,1,0
36417234,Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,"McCord, Patty",,"=""1939714095""","=""9781939714091""",5,Silicon Guild,Hardcover,228,2018,2018,,2019/04/13,"non-technical, collaboration","non-technical (#4), collaboration (#4)",read,,,,1,0
18077780,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0307361179""","=""9780307361172""",5,Random House Canada,Hardcover,368,2014,2014,,2019/04/13,"non-technical, collaboration","non-technical (#5), collaboration (#1)",read,,,,1,1
23848190,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250067057""","=""9781250067050""",5,St. Martin's Press,Hardcover,320,2015,2015,,2019/04/13,"non-technical, collaboration","non-technical (#1), collaboration (#2)",read,,,,1,1
28194540,"Managing for Happiness: Games, Tools & Practices to Motivate Any Team",Jurgen Appelo,"Appelo, Jurgen",,"=""1119268680""","=""9781119268680""",5,Wiley,Paperback,300,2016,2016,,2019/04/14,non-technical,non-technical (#48),read,,,,1,0
37913622,Mastering Paragliding: Digital Edition Volume 1,Kelly Farina,"Farina, Kelly",Charlotte King,"=""0993346758""","=""9780993346750""",0,Cross Country International,Kindle Edition,182,2018,2018,,2019/04/13,"to-read, non-technical","to-read (#5), non-technical (#94)",to-read,,,,0,0
454692,Learning XSLT: A Hands-On Introduction to XSLT and XPath,Michael J.  Fitzgerald,"Fitzgerald, Michael J.",,"=""0596003277""","=""9780596003272""",5,O'Reilly Media,Paperback,368,2003,2003,,2020/12/31,technical,technical (#9),read,,,,1,0
3828382,Tribes: We Need You to Lead Us,Seth Godin,"Godin, Seth",,"=""1591842336""","=""9781591842330""",5,Portfolio,Hardcover,151,2008,2008,,2019/04/13,non-technical,non-technical (#54),read,,,,1,1
160830,All Marketers Are Liars: The Power of Telling Authentic Stories in a Low-Trust World,Seth Godin,"Godin, Seth",,"=""1591841003""","=""9781591841005""",5,Portfolio Hardcover,Hardcover,208,2005,2005,,2019/04/13,non-technical,non-technical (#53),read,,,,1,1
2940740,Java Enterprise Design Patterns: Patterns in Java,Mark Grand,"Grand, Mark",,"=""0471333158""","=""9780471333159""",1,Wiley,Paperback,496,2001,2001,,2020/12/31,technical,technical (#8),read,"Most patterns are already described elsewhere, or not really a pattern",,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,Vintage,Paperback,512,2015,2011,2019/07/08,2019/06/27,non-technical,non-technical (#20),read,,,,1,0
17859598,Collective Genius: The Art and Practice of Leading Innovation,Linda A. Hill,"Hill, Linda A.","Greg Brandeau, Emily Truelove, Kent Lineback","=""1422130029""","=""9781422130025""",5,Harvard Business Review Press,Hardcover,320,2014,2014,,2019/04/13,non-technical,non-technical (#46),read,,,,1,1
